id,name,shelves,platforms,rating,review,dates,statuses,genres,franchises,developers,publishers,release_date,url,giantbomb_id
1,Diablo III,"{""Wish List"": {""date_added"": ""2019-12-22T12:42:45Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547300-wish-list/""}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Diablo"": {""url"": ""https://www.grouvee.com/games/franchise/417-diablo/""}}","{""Blizzard Entertainment"": {""url"": ""https://www.grouvee.com/games/company/2090-blizzard-entertainment/""}}","{""Blizzard Entertainment"": {""url"": ""https://www.grouvee.com/games/company/2090-blizzard-entertainment/""}}",2012-05-15,https://www.grouvee.com/games/1-diablo-iii/,20803
3,Max Payne 3,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 32}, ""Steam"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Action"": {""url"": ""https://www.grouvee.com/games/?genre=action""}, ""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}}","{""Max Payne"": {""url"": ""https://www.grouvee.com/games/franchise/683-max-payne/""}}","{""Rockstar Leeds"": {""url"": ""https://www.grouvee.com/games/company/13591-rockstar-leeds/""}, ""Rockstar Lincoln"": {""url"": ""https://www.grouvee.com/games/company/13592-rockstar-lincoln/""}, ""Rockstar London"": {""url"": ""https://www.grouvee.com/games/company/13593-rockstar-london/""}, ""Rockstar New England"": {""url"": ""https://www.grouvee.com/games/company/13594-rockstar-new-england/""}, ""Rockstar San Diego"": {""url"": ""https://www.grouvee.com/games/company/13596-rockstar-san-diego/""}, ""Rockstar Toronto"": {""url"": ""https://www.grouvee.com/games/company/13597-rockstar-toronto/""}, ""Rockstar Vancouver"": {""url"": ""https://www.grouvee.com/games/company/13598-rockstar-vancouver/""}}","{""Rockstar Games"": {""url"": ""https://www.grouvee.com/games/company/13590-rockstar-games/""}}",2012-05-15,https://www.grouvee.com/games/3-max-payne-3/,23398
14,Final Fantasy VI,"{""Wish List"": {""date_added"": ""2022-03-24T12:32:26Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547300-wish-list/"", ""order"": 146}}",{},,,[],[],"{""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""Final Fantasy"": {""url"": ""https://www.grouvee.com/games/franchise/87-final-fantasy/""}}","{""Squaresoft"": {""url"": ""https://www.grouvee.com/games/company/15066-squaresoft/""}, ""TOSE Co., Ltd."": {""url"": ""https://www.grouvee.com/games/company/16592-tose-co-ltd/""}}","{""Nintendo"": {""url"": ""https://www.grouvee.com/games/company/11089-nintendo/""}, ""Sony Computer Entertainment Australia"": {""url"": ""https://www.grouvee.com/games/company/14842-sony-computer-entertainment-australia/""}, ""Sony Computer Entertainment Europe"": {""url"": ""https://www.grouvee.com/games/company/14843-sony-computer-entertainment-europe/""}, ""Square Enix"": {""url"": ""https://www.grouvee.com/games/company/15061-square-enix/""}, ""Squaresoft"": {""url"": ""https://www.grouvee.com/games/company/15066-squaresoft/""}}",1994-04-02,https://www.grouvee.com/games/14-final-fantasy-vi/,6336
15,South Park: The Stick of Truth,"{""Wish List"": {""date_added"": ""2024-08-23T01:26:51Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547300-wish-list/"", ""order"": 297}}",{},,,[],[],"{""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""South Park"": {""url"": ""https://www.grouvee.com/games/franchise/629-south-park/""}}","{""Obsidian Entertainment"": {""url"": ""https://www.grouvee.com/games/company/11397-obsidian-entertainment/""}, ""South Park Digital Studios"": {""url"": ""https://www.grouvee.com/games/company/14888-south-park-digital-studios/""}}","{""Ubisoft Entertainment"": {""url"": ""https://www.grouvee.com/games/company/16936-ubisoft-entertainment/""}}",2014-03-04,https://www.grouvee.com/games/15-south-park-the-stick-of-truth/,36978
17,BioShock,"{""Paused"": {""date_added"": ""2019-12-21T10:28:35Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547304-paused/""}, ""Steam"": {""date_added"": ""2019-12-22T12:39:46Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}",{},,,"[{""date_started"": ""None"", ""date_finished"": ""None"", ""seconds_played"": 36000, ""level_of_completion"": null}]",[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""First-Person Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=first-person-shooter""}}","{""BioShock"": {""url"": ""https://www.grouvee.com/games/franchise/1707-bioshock/""}}","{""2K Australia"": {""url"": ""https://www.grouvee.com/games/company/81-2k-australia/""}, ""2K Marin"": {""url"": ""https://www.grouvee.com/games/company/85-2k-marin/""}, ""Irrational Games"": {""url"": ""https://www.grouvee.com/games/company/7942-irrational-games/""}}","{""2K Games"": {""url"": ""https://www.grouvee.com/games/company/84-2k-games/""}, ""Feral Interactive"": {""url"": ""https://www.grouvee.com/games/company/5456-feral-interactive/""}, ""Take-Two Interactive Software, Inc."": {""url"": ""https://www.grouvee.com/games/company/15750-take-two-interactive-software-inc/""}}",2007-08-21,https://www.grouvee.com/games/17-bioshock/,17280
20,Spec Ops: The Line,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:49Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 18}, ""Steam"": {""date_added"": ""2019-12-22T12:17:49Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Shooter"": {""url"": ""https://www.grouvee.com/games/?genre=shooter""}}","{""Spec Ops"": {""url"": ""https://www.grouvee.com/games/franchise/838-spec-ops/""}}","{""2K China"": {""url"": ""https://www.grouvee.com/games/company/82-2k-china/""}, ""Darkside Game Studios"": {""url"": ""https://www.grouvee.com/games/company/3849-darkside-game-studios/""}, ""Shadows in Darkness, Inc."": {""url"": ""https://www.grouvee.com/games/company/14188-shadows-in-darkness-inc/""}, ""YAGER Development GmbH"": {""url"": ""https://www.grouvee.com/games/company/18039-yager-development-gmbh/""}}","{""2K Games"": {""url"": ""https://www.grouvee.com/games/company/84-2k-games/""}}",2012-06-26,https://www.grouvee.com/games/20-spec-ops-the-line/,29445
26,The Walking Dead,"{""Backlog"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 31}, ""Steam"": {""date_added"": ""2019-12-22T12:17:50Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/""}}","{""PC"": {""url"": ""https://www.grouvee.com/games/?platform=pc""}}",,,[],[],"{""Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=adventure""}}","{""The Walking Dead"": {""url"": ""https://www.grouvee.com/games/franchise/2310-the-walking-dead/""}}","{""Telltale Games"": {""url"": ""https://www.grouvee.com/games/company/16015-telltale-games/""}}","{""Telltale Games"": {""url"": ""https://www.grouvee.com/games/company/16015-telltale-games/""}}",2012-11-21,https://www.grouvee.com/games/26-the-walking-dead/,34205
29,Spelunky,"{""Endless"": {""date_added"": ""2020-07-04T17:20:12Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547305-endless/""}}",{},,,[],[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Platformer"": {""url"": ""https://www.grouvee.com/games/?genre=platformer""}, ""Puzzle"": {""url"": ""https://www.grouvee.com/games/?genre=puzzle""}}","{""Spelunky"": {""url"": ""https://www.grouvee.com/games/franchise/3933-spelunky/""}}","{""BlitWorks"": {""url"": ""https://www.grouvee.com/games/company/2086-blitworks/""}, ""Mossmouth, LLC"": {""url"": ""https://www.grouvee.com/games/company/10551-mossmouth-llc/""}}","{""Limited Run Games"": {""url"": ""https://www.grouvee.com/games/company/19634-limited-run-games/""}, ""Microsoft Studios"": {""url"": ""https://www.grouvee.com/games/company/10132-microsoft-studios/""}, ""Mossmouth, LLC"": {""url"": ""https://www.grouvee.com/games/company/10551-mossmouth-llc/""}}",2009-09-01,https://www.grouvee.com/games/29-spelunky/,24999
33,The Elder Scrolls V: Skyrim,"{""Backlog"": {""date_added"": ""2023-01-01T08:42:39Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547298-backlog/"", ""order"": 274}, ""Endless"": {""date_added"": ""2023-01-01T08:42:34Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547305-endless/"", ""order"": 65}, ""Steam"": {""date_added"": ""2023-01-01T08:42:36Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547972-steam/"", ""order"": 245}, ""VR"": {""date_added"": ""2023-01-01T08:42:30Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/600159-vr/"", ""order"": 83}}",{},,,"[{""date_started"": ""None"", ""date_finished"": ""None"", ""seconds_played"": 10800, ""level_of_completion"": null}]",[],"{""Action-Adventure"": {""url"": ""https://www.grouvee.com/games/?genre=action-adventure""}, ""Role-Playing"": {""url"": ""https://www.grouvee.com/games/?genre=role-playing""}}","{""The Elder Scrolls"": {""url"": ""https://www.grouvee.com/games/franchise/291-the-elder-scrolls/""}}","{""Bethesda Game Studios"": {""url"": ""https://www.grouvee.com/games/company/1762-bethesda-game-studios/""}, ""Iron Galaxy Studios"": {""url"": ""https://www.grouvee.com/games/company/7922-iron-galaxy-studios/""}}","{""Bethesda Softworks"": {""url"": ""https://www.grouvee.com/games/company/1763-bethesda-softworks/""}}",2011-11-11,https://www.grouvee.com/games/33-the-elder-scrolls-v-skyrim/,33394
34,Super Mario 3D Land,"{""Wish List"": {""date_added"": ""2019-12-22T12:45:06Z"", ""url"": ""https://www.grouvee.com/user/104346-Wacken/shelves/547300-wish-list/""}}",{},,,[],[],"{""Platformer"": {""url"": ""https://www.grouvee.com/games/?genre=platformer""}}","{""Mario"": {""url"": ""https://www.grouvee.com/games/franchise/196-mario/""}, ""Super Mario"": {""url"": ""https://www.grouvee.com/games/franchise/257-super-mario/""}, ""Super Mario 3D"": {""url"": ""https://www.grouvee.com/games/franchise/2598-super-mario-3d/""}, ""Super Mario Land"": {""url"": ""https://www.grouvee.com/games/franchise/1622-super-mario-land/""}}","{""Brownie Brown Co. Ltd."": {""url"": ""https://www.grouvee.com/games/company/2403-brownie-brown-co-ltd/""}, ""Imagica Digitalscape Co., Ltd."": {""url"": ""https://www.grouvee.com/games/company/7552-imagica-digitalscape-co-ltd/""}, ""Nintendo EAD Tokyo Group No.2"": {""url"": ""https://www.grouvee.com/games/company/11092-nintendo-ead-tokyo-group-no2/""}}","{""Nintendo"": {""url"": ""https://www.grouvee.com/games/company/11089-nintendo/""}}",2011-11-03,https://www.grouvee.com/games/34-super-mario-3d-land/,34303
