Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23333089,Pragmatic Unit Testing in Java 8 with JUnit,Dave         Thomas,"Thomas, Dave","Jeff Langr, Andy   Hunt","=""1941222595""","=""9781941222591""",0,3.66,Pragmatic Bookshelf,Paperback,236,2015,2003,,2020/09/29,to-read,to-read (#205),to-read,,,,0,0
36863626,"Unity 2018 Game Development in 24 Hours, Sams Teach Yourself",Mike Geig,"Geig, Mike",,"=""0134998138""","=""9780134998138""",0,4.03,Sams Publishing,Paperback,464,2018,2013,,2019/11/30,"to-read, gameprogramming","to-read (#25), gameprogramming (#1)",to-read,,,,0,1
214442,"The Thirteen Books of the Elements, Books 1 - 2",Euclid,"Euclid, Euclid",Thomas Little Heath,"=""0486600882""","=""9780486600888""",0,4.22,Dover Publications,Paperback,464,1956,1956,,2023/10/30,currently-reading,currently-reading (#1),currently-reading,,,,1,0
34203693,Practical Zen: Meditation and Beyond,Julian Daizan Skinner,"Skinner, Julian Daizan",,"=""1848193637""","=""9781848193635""",0,4.25,Singing Dragon,Paperback,256,2017,,,2023/10/30,to-read,to-read (#257),to-read,,,,0,0
15798826,"The Power of Ashtanga Yoga: Developing a Practice That Will Bring You Strength, Flexibility, and Inner Peace--Includes the complete Primary Series",Kino MacGregor,"MacGregor, Kino",,"=""1611800056""","=""9781611800050""",0,4.33,Shambhala,Paperback,240,2013,2013,,2023/10/30,to-read,to-read (#256),to-read,,,,0,0
7914991,GNU Emacs Manual Version 20.7,Richard M. Stallman,"Stallman, Richard M.",,"=""1882114078""","=""9781882114078""",0,3.92,Free Software Foundation,Paperback,564,2000,1993,2020/03/18,2020/08/07,,,read,,,,1,0
58275959,"Active Inference: The Free Energy Principle in Mind, Brain, and Behavior",Thomas Parr,"Parr, Thomas","Giovanni Pezzulo, Karl J. Friston","=""0262045354""","=""9780262045353""",0,4.25,The MIT Press,Hardcover,312,2022,,,2022/10/12,to-read,to-read (#255),to-read,,,,0,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",0,4.34,New York Review Books,Paperback,292,2006,1965,,2022/07/18,"to-read, personality","to-read (#254), personality (#34)",to-read,,,,0,0
38396692,Unity Game Development Cookbook: Essentials for Every Game,Paris Buttfield-Addison,"Buttfield-Addison, Paris","Jon Manning, Tim Nugent","=""1491999152""","=""9781491999158""",0,4.00,O'Reilly Media,Paperback,405,2019,,,2020/08/13,to-read,to-read (#177),to-read,,,,0,0
6324669,grep Pocket Reference,John Bambenek,"Bambenek, John",Agnieszka Klus,"=""0596153600""","=""9780596153601""",0,4.13,O'Reilly Media,Paperback,82,2009,2009,2021/06/16,2021/06/16,extremeagile,extremeagile (#102),read,,,,1,0
34747849,"Computer Networking: A Top-Down Approach, Global Edition",Keith Ross James Kurose,"Kurose, Keith Ross James",Keith W. Ross,"=""1292153598""","=""9781292153599""",0,4.06,Pearson-prentice Hall,Paperback,856,2016,2000,,2020/11/15,"programming, paused","programming (#180), paused (#24)",paused,,,,0,0
